interest,why,where
accesorios electronicos,revisando un informe,oficina
normativa sunedu,conversación,oficina
ciencia de datos,leyendo website,oficina
eventos coyunturales,pensamientos internos,iglesia
fruta,enviando un mensaje a un colega,mercado
visualizacion de datos,leyendo un artículo en un sitio web,oficina
ocio,enviando un mensaje a un familiar,casa
relacionamiento,leyendo un libro,clinica
reseta,enviando un mensaje a un familiar,restaurante/cocina
Salvación,pensamientos internos,iglesia
seguridad,tiktok,casa
viaje,leyendo website,casa
accesorios electronicos,tiktok,tienda
normativa sunedu,leyendo un artículo en un sitio web,oficina
ciencia de datos,revisando un informe,oficina
eventos coyunturales,leyendo un libro,iglesia
fruta,escuchando música,mercado
visualizacion de datos,conversación,oficina
ocio,tiktok,casa
relacionamiento,enviando un mensaje a un colega,casa
reseta,tiktok,restaurante/cocina
Salvación,leyendo un libro,iglesia
seguridad,leyendo un artículo en un sitio web,oficina
viaje,pensamientos internos,auto
accesorios electronicos,pensamientos internos,tienda
normativa sunedu,leyendo website,oficina
ciencia de datos,leyendo un libro,casa
relacionamiento,pensamientos internos,iglesia
fruta,conversación,mercado
visualizacion de datos,revisando un informe,oficina
ocio,leyendo website,casa
relacionamiento,pensamientos internos,clinica
reseta,enviando un mensaje a un familiar,casa
Salvación,escuchando música,iglesia
seguridad,viendo un programa de televisión,casa
viaje,conversación,auto
accesorios electronicos,leyendo website,tienda
normativa sunedu,leyendo un libro,oficina
ciencia de datos,conversación,oficina
eventos coyunturales,enviando un mensaje a un colega,iglesia
fruta,leyendo un artículo en un sitio web,mercado
visualizacion de datos,leyendo un libro,oficina
ocio,viendo un programa de televisión,casa
relacionamiento,tiktok,clinica
reseta,conversación,casa
Salvación,leyendo un libro,iglesia
